T	PID	COMM	SADDR	DADDR	SPORT	DPORT	ATTACK	Tiempo
X	1998	TCP	192.168.2.110	67.220.214.50	4201	80	0	2502.539232
A	2000	TCP	192.168.2.108	85.232.60.28	1294	80	0	2502.967106
A	2001	TCP	192.168.2.110	67.220.214.50	4203	80	0	2503.059965
X	1999	TCP	192.168.2.110	67.220.214.50	4202	80	0	2503.15984
A	2002	TCP	192.168.2.110	67.220.214.50	4204	80	0	2503.27156
X	2001	TCP	192.168.2.110	67.220.214.50	4203	80	0	2503.373692
A	2003	TCP	192.168.2.110	67.220.214.50	4205	80	0	2503.486012
A	2004	TCP	192.168.2.108	78.136.20.64	1295	80	0	2503.562532
X	2002	TCP	192.168.2.110	67.220.214.50	4204	80	0	2503.588554
A	2005	TCP	192.168.2.110	67.220.214.50	4206	80	0	2503.70022
X	1983	TCP	192.168.2.108	62.48.76.70	1289	80	0	2503.827127
X	2003	TCP	192.168.2.110	67.220.214.50	4205	80	0	2503.82709
A	2006	TCP	192.168.2.108	85.232.60.28	1296	80	0	2503.842789
X	2004	TCP	192.168.2.108	78.136.20.64	1295	80	0	2503.971392
A	2007	TCP	192.168.2.108	78.136.20.64	1297	80	0	2504.195985
A	2008	TCP	192.168.2.110	67.220.214.50	4207	80	0	2504.342572
A	2009	TCP	192.168.2.108	62.48.76.70	1298	80	0	2504.358675
A	2010	TCP	192.168.4.121	65.54.81.171	51326	80	0	2504.37365
X	2005	TCP	192.168.2.110	67.220.214.50	4206	80	0	2504.44633
X	2007	TCP	192.168.2.108	78.136.20.64	1297	80	0	2504.559419
A	2011	TCP	192.168.2.110	67.220.214.50	4208	80	0	2504.559352
A	2012	TCP	192.168.2.108	78.136.20.64	1299	80	0	2504.694129
X	2008	TCP	192.168.2.110	67.220.214.50	4207	80	0	2504.705026
A	2013	TCP	192.168.2.110	67.220.214.50	4209	80	0	2504.815966
X	2011	TCP	192.168.2.110	67.220.214.50	4208	80	0	2504.917729
A	2014	TCP	192.168.2.110	67.220.214.50	4210	80	0	2505.030407
X	2013	TCP	192.168.2.110	67.220.214.50	4209	80	0	2505.130598
X	2012	TCP	192.168.2.108	78.136.20.64	1299	80	0	2505.359462
A	2015	TCP	192.168.2.108	78.136.20.64	1300	80	0	2505.388768
A	2016	TCP	192.168.2.110	67.220.214.50	4211	80	0	2505.64604
X	2014	TCP	192.168.2.110	67.220.214.50	4210	80	0	2505.749204
X	2015	TCP	192.168.2.108	78.136.20.64	1300	80	0	2505.808414
A	2017	TCP	192.168.2.110	67.220.214.50	4212	80	0	2505.889783
A	2018	TCP	192.168.2.108	212.25.232.24	1301	80	0	2505.987534
X	2016	TCP	192.168.2.110	67.220.214.50	4211	80	0	2506.016046
A	2019	TCP	192.168.2.108	78.136.20.64	1302	80	0	2506.07718
A	2020	TCP	192.168.2.110	67.220.214.50	4213	80	0	2506.128083
X	2017	TCP	192.168.2.110	67.220.214.50	4212	80	0	2506.229903
A	2021	TCP	192.168.2.110	67.220.214.50	4214	80	0	2506.376156
X	2019	TCP	192.168.2.108	78.136.20.64	1302	80	0	2506.477746
X	2020	TCP	192.168.2.110	67.220.214.50	4213	80	0	2506.479742
A	2022	TCP	192.168.2.108	78.136.20.64	1303	80	0	2506.858987
A	2023	TCP	192.168.2.110	67.220.214.50	4215	80	0	2506.960829
X	2021	TCP	192.168.2.110	67.220.214.50	4214	80	0	2507.06139
A	2024	TCP	192.168.2.110	67.220.214.50	4216	80	0	2507.171944
X	2022	TCP	192.168.2.108	78.136.20.64	1303	80	0	2507.229519
X	2023	TCP	192.168.2.110	67.220.214.50	4215	80	0	2507.274225
A	2025	TCP	192.168.2.108	92.52.75.103	1304	80	0	2507.344674
A	2026	TCP	192.168.2.108	78.136.20.64	1305	80	0	2507.414752
A	2027	TCP	192.168.2.110	67.220.214.50	4217	80	0	2507.418006
X	2024	TCP	192.168.2.110	67.220.214.50	4216	80	0	2507.519837
A	2028	TCP	192.168.2.110	67.220.214.50	4218	80	0	2507.63311
X	2027	TCP	192.168.2.110	67.220.214.50	4217	80	0	2507.736686
X	2026	TCP	192.168.2.108	78.136.20.64	1305	80	0	2508.055353
A	2029	TCP	192.168.2.108	78.136.20.64	1306	80	0	2508.057905
A	2030	TCP	192.168.2.110	67.220.214.50	4219	80	0	2508.236372
X	2028	TCP	192.168.2.110	67.220.214.50	4218	80	0	2508.338319
A	2031	TCP	192.168.2.110	67.220.214.50	4220	80	0	2508.45082
X	2030	TCP	192.168.2.110	67.220.214.50	4219	80	0	2508.563931
A	2032	TCP	192.168.2.110	67.220.214.50	4221	80	0	2508.674555
X	2031	TCP	192.168.2.110	67.220.214.50	4220	80	0	2508.776044
A	2033	TCP	192.168.2.110	67.220.214.50	4222	80	0	2508.900881
X	2032	TCP	192.168.2.110	67.220.214.50	4221	80	0	2509.010214
X	1933	TCP	192.168.4.121	65.54.81.62	51308	80	0	2509.444956
A	2034	TCP	192.168.2.110	67.220.214.50	4223	80	0	2509.495257
X	1760	TCP	192.168.2.106	74,220,207,122	3231	80	0	2509.549157
X	2033	TCP	192.168.2.110	67.220.214.50	4222	80	0	2509.59476
A	2035	TCP	192.168.2.110	67.220.214.50	4224	80	0	2509.705203
X	2034	TCP	192.168.2.110	67.220.214.50	4223	80	0	2509.806378
A	2036	TCP	192.168.2.110	67.220.214.50	4225	80	0	2509.919754
X	2029	TCP	192.168.2.108	78.136.20.64	1306	80	0	2509.939542
X	2035	TCP	192.168.2.110	67.220.214.50	4224	80	0	2510.022519
A	2037	TCP	192.168.2.110	67.220.214.50	4226	80	0	2510.132766
X	2036	TCP	192.168.2.110	67.220.214.50	4225	80	0	2510.235109
A	2038	TCP	192.168.2.110	67.220.214.50	4227	80	0	2510.713284
X	2037	TCP	192.168.2.110	67.220.214.50	4226	80	0	2510.814768
A	2039	TCP	192.168.2.110	67.220.214.50	4228	80	0	2510.928396
X	2038	TCP	192.168.2.110	67.220.214.50	4227	80	0	2511.028632
A	2040	TCP	192.168.2.110	67.220.214.50	4229	80	0	2511.141474
X	2039	TCP	192.168.2.110	67.220.214.50	4228	80	0	2511.243722
A	2041	TCP	192.168.2.110	67.220.214.50	4230	80	0	2511.355249
X	2040	TCP	192.168.2.110	67.220.214.50	4229	80	0	2511.457633
A	2042	TCP	192.168.2.110	67.220.214.50	4231	80	0	2511.936803
X	2041	TCP	192.168.2.110	67.220.214.50	4230	80	0	2512.038966
A	2043	TCP	192.168.2.110	67.220.214.50	4232	80	0	2512.152023
X	2042	TCP	192.168.2.110	67.220.214.50	4231	80	0	2512.29355
X	1673	TCP	192.168.1.103	208,113,162,153	1781	80	0	2512.333453
A	2044	TCP	192.168.2.110	67.220.214.50	4233	80	0	2512.447171
A	2045	TCP	192.168.2.110	69.84.133.138	4234	80	0	2512.501289
X	1801	TCP	192.168.2.110	69.84.133.138	4064	80	0	2512.541533
X	2043	TCP	192.168.2.110	67.220.214.50	4232	80	0	2512.549657
A	2046	TCP	192.168.2.110	142.166.14.77	4235	80	0	2512.637415
A	2047	TCP	192.168.2.110	142.166.14.77	4236	80	0	2512.637724
A	2048	TCP	192.168.2.110	67.220.214.50	4237	80	0	2512.662237
X	2044	TCP	192.168.2.110	67.220.214.50	4233	80	0	2512.764522
X	2045	TCP	192.168.2.110	69.84.133.138	4234	80	0	2513.01636
A	2049	TCP	192.168.2.110	69.84.133.138	4238	80	0	2513.048975
A	2050	TCP	192.168.2.110	67.220.214.50	4239	80	0	2513.243698
X	2048	TCP	192.168.2.110	67.220.214.50	4237	80	0	2513.357156
A	2051	TCP	192.168.2.110	69.84.133.138	4240	80	0	2513.368803
X	2049	TCP	192.168.2.110	69.84.133.138	4238	80	0	2513.412098
A	2052	TCP	192.168.2.110	67.220.214.50	4241	80	0	2513.473558
X	2050	TCP	192.168.2.110	67.220.214.50	4239	80	0	2513.580736
X	2051	TCP	192.168.2.110	69.84.133.138	4240	80	0	2513.696119
A	2053	TCP	192.168.2.110	67.220.214.50	4242	80	0	2513.698425
X	2052	TCP	192.168.2.110	67.220.214.50	4241	80	0	2513.799873
A	2054	TCP	192.168.2.110	67.220.214.50	4243	80	0	2513.910422
X	2053	TCP	192.168.2.110	67.220.214.50	4242	80	0	2514.011701
A	2055	TCP	192.168.2.110	67.220.214.50	4244	80	0	2514.49167
X	2054	TCP	192.168.2.110	67.220.214.50	4243	80	0	2514.593368
A	2056	TCP	192.168.2.110	67.220.214.50	4245	80	0	2514.704139
X	2055	TCP	192.168.2.110	67.220.214.50	4244	80	0	2514.936656
A	2057	TCP	192.168.2.110	67.220.214.50	4246	80	0	2515.049776
X	2056	TCP	192.168.2.110	67.220.214.50	4245	80	0	2515.153015
A	2058	TCP	192.168.2.110	67.220.214.50	4247	80	0	2515.267786
X	2057	TCP	192.168.2.110	67.220.214.50	4246	80	0	2515.381086
A	2059	TCP	192.168.2.110	67.220.214.50	4248	80	0	2515.861095
X	2058	TCP	192.168.2.110	67.220.214.50	4247	80	0	2515.963503
A	2060	TCP	192.168.2.110	67.220.214.50	4249	80	0	2516.073285
X	2059	TCP	192.168.2.110	67.220.214.50	4248	80	0	2516.176369
A	2061	TCP	192.168.2.110	67.220.214.50	4250	80	0	2516.288448
X	2060	TCP	192.168.2.110	67.220.214.50	4249	80	0	2516.390232
A	2062	TCP	192.168.2.110	67.220.214.50	4251	80	0	2516.501739
X	2061	TCP	192.168.2.110	67.220.214.50	4250	80	0	2516.603848
A	2063	TCP	192.168.2.110	67.220.214.50	4252	80	0	2517.085116
X	2062	TCP	192.168.2.110	67.220.214.50	4251	80	0	2517.187728
A	2064	TCP	192.168.2.110	67.220.214.50	4253	80	0	2517.297528
X	2063	TCP	192.168.2.110	67.220.214.50	4252	80	0	2517.40033
A	2065	TCP	192.168.2.110	67.220.214.50	4254	80	0	2517.513179
X	2064	TCP	192.168.2.110	67.220.214.50	4253	80	0	2517.615443
A	2066	TCP	192.168.2.110	67.220.214.50	4255	80	0	2517.727131
X	2065	TCP	192.168.2.110	67.220.214.50	4254	80	0	2517.829309
A	2067	TCP	192.168.2.110	67.220.214.50	4256	80	0	2518.312507
X	2066	TCP	192.168.2.110	67.220.214.50	4255	80	0	2518.411956
A	2068	TCP	192.168.2.110	67.220.214.50	4257	80	0	2518.522476
X	2067	TCP	192.168.2.110	67.220.214.50	4256	80	0	2518.624573
A	2069	TCP	192.168.2.110	67.220.214.50	4258	80	0	2518.738047
X	2068	TCP	192.168.2.110	67.220.214.50	4257	80	0	2518.839695
A	2070	TCP	192.168.2.110	67.220.214.50	4259	80	0	2518.95121
X	2069	TCP	192.168.2.110	67.220.214.50	4258	80	0	2519.053534
A	2071	TCP	192.168.4.121	65.54.81.210	51327	80	0	2519.376719
X	2010	TCP	192.168.4.121	65.54.81.171	51326	80	0	2519.454365
A	2072	TCP	192.168.2.110	67.220.214.50	4260	80	0	2519.5337
X	2070	TCP	192.168.2.110	67.220.214.50	4259	80	0	2519.635168
A	2073	TCP	192.168.2.110	67.220.214.50	4261	80	0	2519.747298
X	2072	TCP	192.168.2.110	67.220.214.50	4260	80	0	2519.848035
A	2074	TCP	192.168.2.110	67.220.214.50	4262	80	0	2519.960148
X	2073	TCP	192.168.2.110	67.220.214.50	4261	80	0	2520.062907
A	2075	TCP	192.168.2.110	67.220.214.50	4263	80	0	2520.172933
X	2074	TCP	192.168.2.110	67.220.214.50	4262	80	0	2520.275779
A	2076	TCP	192.168.2.110	67.220.214.50	4264	80	0	2520.754962
X	2075	TCP	192.168.2.110	67.220.214.50	4263	80	0	2520.857416
A	2077	TCP	192.168.2.110	67.220.214.50	4265	80	0	2520.968236
X	2076	TCP	192.168.2.110	67.220.214.50	4264	80	0	2521.070265
A	2078	TCP	192.168.2.110	67.220.214.50	4266	80	0	2521.183576
X	2077	TCP	192.168.2.110	67.220.214.50	4265	80	0	2521.286127
A	2079	TCP	192.168.2.110	67.220.214.50	4267	80	0	2521.397373
X	2078	TCP	192.168.2.110	67.220.214.50	4266	80	0	2521.500012
A	2080	TCP	192.168.2.110	67.220.214.50	4268	80	0	2521.982637
X	2079	TCP	192.168.2.110	67.220.214.50	4267	80	0	2522.082627
A	2081	TCP	192.168.2.110	67.220.214.50	4269	80	0	2522.191641
X	2080	TCP	192.168.2.110	67.220.214.50	4268	80	0	2522.293505
A	2082	TCP	192.168.2.110	67.220.214.50	4270	80	0	2522.407321
X	2081	TCP	192.168.2.110	67.220.214.50	4269	80	0	2522.509341
A	2083	TCP	192.168.2.110	67.220.214.50	4271	80	0	2522.61939
X	2082	TCP	192.168.2.110	67.220.214.50	4270	80	0	2522.722216
A	2084	TCP	192.168.2.110	67.220.214.50	4272	80	0	2523.198931
X	2083	TCP	192.168.2.110	67.220.214.50	4271	80	0	2523.300601
X	1668	TCP	192.168.1.103	97.74.144.108	1777	80	0	2523.379922
A	2085	TCP	192.168.2.110	67.220.214.50	4273	80	0	2523.411124
X	2084	TCP	192.168.2.110	67.220.214.50	4272	80	0	2523.513493
A	2086	TCP	192.168.2.110	67.220.214.50	4274	80	0	2523.626064
X	2085	TCP	192.168.2.110	67.220.214.50	4273	80	0	2523.728584
A	2087	TCP	192.168.2.110	67.220.214.50	4275	80	0	2523.839478
X	2086	TCP	192.168.2.110	67.220.214.50	4274	80	0	2523.939198
A	2088	TCP	192.168.2.110	67.220.214.50	4276	80	0	2524.419397
X	2087	TCP	192.168.2.110	67.220.214.50	4275	80	0	2524.521845
A	2089	TCP	192.168.2.110	67.220.214.50	4277	80	0	2524.632388
X	2088	TCP	192.168.2.110	67.220.214.50	4276	80	0	2524.734713
A	2090	TCP	192.168.2.110	67.220.214.50	4278	80	0	2524.847804
X	2089	TCP	192.168.2.110	67.220.214.50	4277	80	0	2524.950576
A	2091	TCP	192.168.2.110	67.220.214.50	4279	80	0	2525.060874
X	2090	TCP	192.168.2.110	67.220.214.50	4278	80	0	2525.162691
A	2092	TCP	192.168.2.110	67.220.214.50	4280	80	0	2525.64341
X	2091	TCP	192.168.2.110	67.220.214.50	4279	80	0	2525.74406
A	2093	TCP	192.168.2.110	67.220.214.50	4281	80	0	2525.853629
X	2092	TCP	192.168.2.110	67.220.214.50	4280	80	0	2525.95594
A	2094	TCP	192.168.2.110	67.220.214.50	4282	80	0	2526.068262
X	2093	TCP	192.168.2.110	67.220.214.50	4281	80	0	2526.171056
A	2095	TCP	192.168.2.110	67.220.214.50	4283	80	0	2526.282804
X	2094	TCP	192.168.2.110	67.220.214.50	4282	80	0	2526.38467
A	2096	TCP	192.168.2.110	67.220.214.50	4284	80	0	2526.863867
X	2095	TCP	192.168.2.110	67.220.214.50	4283	80	0	2526.965299
A	2097	TCP	192.168.2.110	67.220.214.50	4285	80	0	2527.076339
X	2096	TCP	192.168.2.110	67.220.214.50	4284	80	0	2527.178167
A	2098	TCP	192.168.2.110	67.220.214.50	4286	80	0	2527.290588
X	2097	TCP	192.168.2.110	67.220.214.50	4285	80	0	2527.393016
A	2099	TCP	192.168.2.110	67.220.214.50	4287	80	0	2527.503054
A	2100	TCP	192.168.1.104	216.109.86.150	15988	80	0	2527.530043
X	1788	TCP	192.168.1.104	216.109.86.150	15979	80	0	2527.581658
X	2098	TCP	192.168.2.110	67.220.214.50	4286	80	0	2527.605878
A	2101	TCP	192.168.1.104	174.35.52.82	15989	80	0	2527.876465
X	1789	TCP	192.168.1.104	174.35.52.82	15980	80	0	2527.980689
A	2102	TCP	192.168.2.110	67.220.214.50	4288	80	0	2528.105662
X	2099	TCP	192.168.2.110	67.220.214.50	4287	80	0	2528.207266
A	2103	TCP	192.168.2.110	67.220.214.50	4289	80	0	2528.317104
A	2104	TCP	192.168.1.104	174.35.52.80	15990	80	0	2528.33573
X	2102	TCP	192.168.2.110	67.220.214.50	4288	80	0	2528.419383
X	1790	TCP	192.168.1.104	174.35.52.80	15981	80	0	2528.432374
A	2105	TCP	192.168.2.110	67.220.214.50	4290	80	0	2528.5327
X	2103	TCP	192.168.2.110	67.220.214.50	4289	80	0	2528.635248
A	2106	TCP	192.168.2.110	67.220.214.50	4291	80	0	2528.746602
X	2105	TCP	192.168.2.110	67.220.214.50	4290	80	0	2528.848112
A	2107	TCP	192.168.1.104	174.35.52.82	15991	80	0	2529.251709
A	2108	TCP	192.168.2.110	67.220.214.50	4292	80	0	2529.328306
X	1791	TCP	192.168.1.104	174.35.52.82	15982	80	0	2529.355779
X	2106	TCP	192.168.2.110	67.220.214.50	4291	80	0	2529.429728
A	2109	TCP	192.168.2.110	67.220.214.50	4293	80	0	2529.542511
A	2110	TCP	192.168.1.104	204.13.200.58	15992	80	0	2529.549269
X	2108	TCP	192.168.2.110	67.220.214.50	4292	80	0	2529.643593
A	2111	TCP	192.168.1.104	174.35.52.80	15993	80	0	2529.723498
A	2112	TCP	192.168.2.110	67.220.214.50	4294	80	0	2529.7575
X	2110	TCP	192.168.1.104	204.13.200.58	15992	80	0	2529.794999
X	1793	TCP	192.168.1.104	174.35.52.80	15984	80	0	2529.82248
X	2109	TCP	192.168.2.110	67.220.214.50	4293	80	0	2529.859206
A	2113	TCP	192.168.2.110	67.220.214.50	4295	80	0	2529.970526
X	2112	TCP	192.168.2.110	67.220.214.50	4294	80	0	2530.072327
A	2114	TCP	192.168.2.110	67.220.214.50	4296	80	0	2530.550245
X	2113	TCP	192.168.2.110	67.220.214.50	4295	80	0	2530.651972
A	2115	TCP	192.168.2.110	67.220.214.50	4297	80	0	2530.76266
X	2114	TCP	192.168.2.110	67.220.214.50	4296	80	0	2530.864847
A	2116	TCP	192.168.2.110	67.220.214.50	4298	80	0	2530.977719
X	2115	TCP	192.168.2.110	67.220.214.50	4297	80	0	2531.079439
A	2117	TCP	192.168.2.110	67.220.214.50	4299	80	0	2531.18996
X	2116	TCP	192.168.2.110	67.220.214.50	4298	80	0	2531.292306
A	2118	TCP	192.168.2.110	67.220.214.50	4300	80	0	2531.773014
X	2117	TCP	192.168.2.110	67.220.214.50	4299	80	0	2531.872935
A	2119	TCP	192.168.2.110	67.220.214.50	4301	80	0	2531.982978
X	2118	TCP	192.168.2.110	67.220.214.50	4300	80	0	2532.085066
A	2120	TCP	192.168.2.110	67.220.214.50	4302	80	0	2532.199431
X	2119	TCP	192.168.2.110	67.220.214.50	4301	80	0	2532.301684
A	2121	TCP	192.168.2.110	67.220.214.50	4303	80	0	2532.412251
X	2120	TCP	192.168.2.110	67.220.214.50	4302	80	0	2532.514545
A	2122	TCP	192.168.2.110	67.220.214.50	4304	80	0	2532.992501
X	2121	TCP	192.168.2.110	67.220.214.50	4303	80	0	2533.094436
A	2123	TCP	192.168.2.110	67.220.214.50	4305	80	0	2533.205144
X	2122	TCP	192.168.2.110	67.220.214.50	4304	80	0	2533.307282
A	2124	TCP	192.168.2.110	67.220.214.50	4306	80	0	2533.419375
X	2123	TCP	192.168.2.110	67.220.214.50	4305	80	0	2533.521152
A	2125	TCP	192.168.2.110	67.220.214.50	4307	80	0	2533.634476
X	2124	TCP	192.168.2.110	67.220.214.50	4306	80	0	2533.734013
A	2126	TCP	192.168.2.110	67.220.214.50	4308	80	0	2534.216721
X	2125	TCP	192.168.2.110	67.220.214.50	4307	80	0	2534.319641
A	2127	TCP	192.168.4.121	65.54.81.171	51328	80	0	2534.37298
A	2128	TCP	192.168.2.110	67.220.214.50	4309	80	0	2534.430433
X	2071	TCP	192.168.4.121	65.54.81.210	51327	80	0	2534.451595
X	2126	TCP	192.168.2.110	67.220.214.50	4308	80	0	2534.533271
A	2129	TCP	192.168.2.110	67.220.214.50	4310	80	0	2534.645694
X	2128	TCP	192.168.2.110	67.220.214.50	4309	80	0	2534.747137
A	2130	TCP	192.168.2.110	67.220.214.50	4311	80	0	2534.858699
X	2129	TCP	192.168.2.110	67.220.214.50	4310	80	0	2534.962002
A	2131	TCP	192.168.2.110	67.220.214.50	4312	80	0	2535.442954
X	2130	TCP	192.168.2.110	67.220.214.50	4311	80	0	2535.543621
A	2132	TCP	192.168.2.110	67.220.214.50	4313	80	0	2535.654514
X	2131	TCP	192.168.2.110	67.220.214.50	4312	80	0	2535.757483
A	2133	TCP	192.168.2.110	67.220.214.50	4314	80	0	2535.869994
X	2132	TCP	192.168.2.110	67.220.214.50	4313	80	0	2535.971613
A	2134	TCP	192.168.2.110	67.220.214.50	4315	80	0	2536.082355
X	2133	TCP	192.168.2.110	67.220.214.50	4314	80	0	2536.185231
A	2135	TCP	192.168.2.110	67.220.214.50	4316	80	0	2536.662174
X	2134	TCP	192.168.2.110	67.220.214.50	4315	80	0	2536.763613
A	2136	TCP	192.168.2.110	67.220.214.50	4317	80	0	2536.874667
X	2135	TCP	192.168.2.110	67.220.214.50	4316	80	0	2536.976464
A	2137	TCP	192.168.2.110	67.220.214.50	4318	80	0	2537.089289
X	2136	TCP	192.168.2.110	67.220.214.50	4317	80	0	2537.19134
A	2138	TCP	192.168.2.110	67.220.214.50	4319	80	0	2537.301849
A	2139	TCP	192.168.2.113	64.90.206.110	4582	80	0	2537.384024
X	2137	TCP	192.168.2.110	67.220.214.50	4318	80	0	2537.40444
X	1938	TCP	192.168.2.113	64.90.206.110	4580	80	0	2537.47116
A	2140	TCP	192.168.2.110	67.220.214.50	4320	80	0	2537.895472
X	2138	TCP	192.168.2.110	67.220.214.50	4319	80	0	2537.996056
A	2141	TCP	192.168.2.110	67.220.214.50	4321	80	0	2538.105601
X	2140	TCP	192.168.2.110	67.220.214.50	4320	80	0	2538.208949
A	2142	TCP	192.168.2.110	67.220.214.50	4322	80	0	2538.322259
X	2141	TCP	192.168.2.110	67.220.214.50	4321	80	0	2538.424812
A	2143	TCP	192.168.2.110	67.220.214.50	4323	80	0	2538.536076
X	2142	TCP	192.168.2.110	67.220.214.50	4322	80	0	2538.638677
A	2144	TCP	192.168.2.110	67.220.214.50	4324	80	0	2539.11671
X	2143	TCP	192.168.2.110	67.220.214.50	4323	80	0	2539.219296
A	2145	TCP	192.168.2.110	67.220.214.50	4325	80	0	2539.331719
X	1706	TCP	192.168.1.103	80.69.31.115	1783	80	0	2539.363724
X	2144	TCP	192.168.2.110	67.220.214.50	4324	80	0	2539.431159
A	2146	TCP	192.168.2.110	67.220.214.50	4326	80	0	2539.544561
X	2145	TCP	192.168.2.110	67.220.214.50	4325	80	0	2539.647024
A	2147	TCP	192.168.2.110	67.220.214.50	4327	80	0	2539.757684
X	2146	TCP	192.168.2.110	67.220.214.50	4326	80	0	2539.859888
A	2148	TCP	192.168.2.110	67.220.214.50	4328	80	0	2540.337589
X	2147	TCP	192.168.2.110	67.220.214.50	4327	80	0	2540.439539
A	2149	TCP	192.168.2.110	67.220.214.50	4329	80	0	2540.549065
X	2148	TCP	192.168.2.110	67.220.214.50	4328	80	0	2540.651404
A	2150	TCP	192.168.2.110	67.220.214.50	4330	80	0	2540.764812
X	2149	TCP	192.168.2.110	67.220.214.50	4329	80	0	2540.868521
A	2151	TCP	192.168.2.110	67.220.214.50	4331	80	0	2540.98054
X	2150	TCP	192.168.2.110	67.220.214.50	4330	80	0	2541.083116
X	1794	TCP	192.168.1.104	192.168.5.122	15986	80	0	2541.404319
X	1795	TCP	192.168.1.104	192.168.5.122	15985	80	0	2541.404084
A	2152	TCP	192.168.2.110	67.220.214.50	4332	80	0	2541.563481
X	2151	TCP	192.168.2.110	67.220.214.50	4331	80	0	2541.663766
A	2153	TCP	192.168.2.110	67.220.214.50	4333	80	0	2541.775362
X	2152	TCP	192.168.2.110	67.220.214.50	4332	80	0	2541.877616
A	2154	TCP	192.168.2.110	67.220.214.50	4334	80	0	2541.990709
X	2153	TCP	192.168.2.110	67.220.214.50	4333	80	0	2542.092247
A	2155	TCP	192.168.2.110	67.220.214.50	4335	80	0	2542.202506
X	2154	TCP	192.168.2.110	67.220.214.50	4334	80	0	2542.305095
A	2156	TCP	192.168.2.110	67.220.214.50	4336	80	0	2542.784322
X	2155	TCP	192.168.2.110	67.220.214.50	4335	80	0	2542.887744
A	2157	TCP	192.168.2.110	67.220.214.50	4337	80	0	2542.996492
X	2156	TCP	192.168.2.110	67.220.214.50	4336	80	0	2543.099851
A	2158	TCP	192.168.2.110	67.220.214.50	4338	80	0	2543.212673
X	2157	TCP	192.168.2.110	67.220.214.50	4337	80	0	2543.314456
X	1796	TCP	192.168.1.104	157.150.195.10	15987	80	0	2543.352409
A	2159	TCP	192.168.2.110	67.220.214.50	4339	80	0	2543.426454
X	2158	TCP	192.168.2.110	67.220.214.50	4338	80	0	2543.527595
A	2160	TCP	192.168.2.110	67.220.214.50	4340	80	0	2544.004994
X	2159	TCP	192.168.2.110	67.220.214.50	4339	80	0	2544.107222
A	2161	TCP	192.168.2.110	67.220.214.50	4341	80	0	2544.216746
X	2160	TCP	192.168.2.110	67.220.214.50	4340	80	0	2544.32009
A	2162	TCP	192.168.2.110	67.220.214.50	4342	80	0	2544.432159
X	2161	TCP	192.168.2.110	67.220.214.50	4341	80	0	2544.53495
A	2163	TCP	192.168.2.110	67.220.214.50	4343	80	0	2544.646064
X	2162	TCP	192.168.2.110	67.220.214.50	4342	80	0	2544.748818
A	2164	TCP	192.168.2.110	67.220.214.50	4344	80	0	2545.230936
X	2163	TCP	192.168.2.110	67.220.214.50	4343	80	0	2545.331449
A	2165	TCP	192.168.2.110	67.220.214.50	4345	80	0	2545.440743
X	2164	TCP	192.168.2.110	67.220.214.50	4344	80	0	2545.542085
A	2166	TCP	192.168.2.110	67.220.214.50	4346	80	0	2545.655229
X	2165	TCP	192.168.2.110	67.220.214.50	4345	80	0	2545.757915
A	2167	TCP	192.168.2.110	67.220.214.50	4347	80	0	2545.868256
X	2166	TCP	192.168.2.110	67.220.214.50	4346	80	0	2545.97078
A	2168	TCP	192.168.2.110	67.220.214.50	4348	80	0	2546.448953
X	2167	TCP	192.168.2.110	67.220.214.50	4347	80	0	2546.551427
A	2169	TCP	192.168.2.110	67.220.214.50	4349	80	0	2546.661047
X	2168	TCP	192.168.2.110	67.220.214.50	4348	80	0	2546.763295
A	2170	TCP	192.168.2.110	67.220.214.50	4350	80	0	2546.875658
X	2169	TCP	192.168.2.110	67.220.214.50	4349	80	0	2546.97844
A	2171	TCP	192.168.2.110	67.220.214.50	4351	80	0	2547.088437
X	2170	TCP	192.168.2.110	67.220.214.50	4350	80	0	2547.191025
A	2172	TCP	192.168.2.113	216.187.117.61	4583	80	0	2547.527992
A	2173	TCP	192.168.2.113	192.168.5.122	4584	80	0	2547.528505
A	2174	TCP	192.168.2.113	69.61.65.33	4585	80	0	2547.529664
A	2175	TCP	192.168.2.110	67.220.214.50	4352	80	0	2547.671476
X	2171	TCP	192.168.2.110	67.220.214.50	4351	80	0	2547.782455
A	2176	TCP	192.168.2.110	67.220.214.50	4353	80	0	2547.902454
X	2175	TCP	192.168.2.110	67.220.214.50	4352	80	0	2548.006469
A	2177	TCP	192.168.2.110	67.220.214.50	4354	80	0	2548.11981
X	2176	TCP	192.168.2.110	67.220.214.50	4353	80	0	2548.222371
X	2172	TCP	192.168.2.113	216.187.117.61	4583	80	0	2548.286084
A	2178	TCP	192.168.2.110	67.220.214.50	4355	80	0	2548.332679
X	2177	TCP	192.168.2.110	67.220.214.50	4354	80	0	2548.435234
A	2179	TCP	192.168.4.121	65.54.81.62	51329	80	0	2549.372555
A	2180	TCP	192.168.2.110	67.220.214.50	4356	80	0	2549.386658
A	2181	TCP	192.168.2.113	63.245.209.24	4586	80	0	2549.419601
X	2127	TCP	192.168.4.121	65.54.81.171	51328	80	0	2549.453131
X	2178	TCP	192.168.2.110	67.220.214.50	4355	80	0	2549.488557
A	2182	TCP	192.168.2.110	67.220.214.50	4357	80	0	2549.599494
X	2180	TCP	192.168.2.110	67.220.214.50	4356	80	0	2549.700423
A	2183	TCP	192.168.2.113	63,245,209,106	4587	80	0	2549.742123
